,city,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
505,marzuq,14.4,46.47,62.3,28,0,3.62
506,gidole,5.65,37.37,74.31,25,0,3.06
507,saint anthony,43.97,-111.68,30.25,88,90,3.36
508,warqla,NA,NA,NA,NA,NA,NA
509,kuche,NA,NA,NA,NA,NA,NA
510,ambilobe,-13.19,49.05,79.94,98,64,4.63
511,sampit,-2.54,112.95,84.12,93,36,5.75
512,finnsnes,69.23,17.98,32.99,100,90,28.86
513,holme,53.7,-2.31,42.22,93,90,2.24
514,taltal,-25.41,-70.49,50.64,100,24,1.72
515,high rock,26.63,-78.28,70.17,100,56,13.8
516,valenca do piaui,-6.41,-41.75,69.81,96,80,5.08
517,lake cowichan,48.82,-124.05,50,87,90,6.93
518,ankazobe,-18.32,47.12,66.2,93,40,4.18
519,cumana,10.46,-64.17,80.6,78,20,2.17
520,kaduqli,11.01,29.72,70.44,50,0,11.23
521,tuzla,NA,NA,NA,NA,NA,NA
522,maningrida,-12.05,134.23,92.49,71,12,10.45
523,kiunga,-6.12,141.3,90.78,57,48,3.62
524,whitehaven,35.03,-90.03,33.15,58,75,8.05
525,telenesti,47.5,28.37,24.8,85,90,19.46
526,magalia,39.81,-121.58,47.34,92,75,2.62
527,barsovo,61.17,73.17,-23.81,67,75,4.47
528,khasan,42.43,130.64,33.5,68,8,1.5
529,murakami,38.29,139.58,39.16,56,75,16.11
530,kachug,53.96,105.89,8.97,78,48,3.4
531,altay,47.83,88.13,13.07,81,44,2.39
532,ottawa,45.42,-75.69,5,71,90,20.8
533,san patricio,-26.98,-56.83,70.8,99,92,3.51
534,xining,36.62,101.77,33.45,17,0,4.97
535,kautokeino,69.01,23.04,26.43,75,32,10.67
536,central point,42.38,-122.91,45.1,46,1,11.41
537,oromocto,45.85,-66.47,23.9,92,90,9.17
538,umm kaddadah,13.6,26.69,57.84,44,0,14.14
539,liverpool,53.41,-2.98,43.47,81,80,8.05
540,honiara,-9.43,159.96,79.49,91,80,2.62
541,pimentel,-3.7,-45.5,70.4,99,48,2.39
542,nelipyno,48.56,23.03,15.8,92,0,3.51
543,armacao dos buzios,NA,NA,NA,NA,NA,NA
544,bilma,18.69,12.92,40.7,72,0,2.84
545,ngunguru,-35.62,174.5,71.16,99,8,6.31
546,amahai,-3.31,129,81.69,100,12,7.2
547,cienaga,11.01,-74.25,77.79,69,0,9.17
548,tautira,-17.73,-149.15,82.4,74,75,6.93
549,umm lajj,25.02,37.27,62.97,97,12,6.98
550,holoby,51.09,25.02,7.44,83,56,4.18
551,gao,16.28,-0.04,49.79,74,0,2.95
552,cervo,-22.19,-46.24,59.24,89,24,1.72
553,kaeo,-35.1,173.78,72.65,78,56,5.3
554,caicedonia,4.33,-75.83,68,88,40,1.72
555,straumen,63.87,11.3,35.6,88,75,51.67
556,muzquiz,NA,NA,NA,NA,NA,NA
557,kasra,NA,NA,NA,NA,NA,NA
558,vestbygda,NA,NA,NA,NA,NA,NA
559,naze,5.43,7.07,71.6,88,0,6.53
560,katsuura,33.93,134.5,50.83,62,40,14.99
561,noumea,-22.28,166.46,87.8,58,44,11.41
562,skelleftea,64.75,20.95,33.8,59,0,18.34
563,kaliningrad,54.71,20.51,23,79,90,8.95
564,martapura,-3.41,114.85,83.85,91,68,4.18
565,nemuro,43.32,145.57,24.8,49,20,18.34
566,saint-francois,46.42,3.91,26.6,92,75,1.12
567,sayansk,54.11,102.18,12.8,86,80,7.76
568,portland,45.52,-122.67,45.18,92,90,4.05
569,astaneh-ye ashrafiyeh,37.26,49.94,32,56,20,4.18
570,puerto cabezas,14.04,-83.39,77.46,99,92,10
571,anadyr,64.73,177.51,10.4,72,90,8.95
572,casambalangan,18.38,122.13,80.16,100,56,19.06
573,ipojuca,-8.4,-35.06,77,88,40,11.41
574,norrtalje,59.76,18.7,34.99,93,90,16.11
575,chilca,-13.22,-72.34,50,76,40,0.94
576,reconquista,-29.14,-59.64,69.77,97,92,12.8
577,havre-saint-pierre,50.23,-63.6,28.4,92,75,13.87
578,camocim,-2.9,-40.84,73.55,94,48,3.18
579,nagapattinam,10.76,79.84,78.81,70,68,12.8
580,nizhniy kuranakh,58.84,125.49,12.75,73,68,5.19
581,masterton,-40.95,175.66,71.34,48,64,8.99
582,saint-pierre,48.95,4.24,30.09,100,92,5.82
583,nkwerre,5.75,7.12,73.68,88,0,3.85
584,ulladulla,-35.36,150.48,73.4,88,40,10.29
585,pangnirtung,66.15,-65.72,-26.49,41,8,3.29
586,paso de los toros,-32.81,-56.52,64.19,93,92,7.99
587,chumikan,54.72,135.31,3.8,54,0,13.8
588,southbridge,42.08,-72.03,23.76,64,1,24.16
589,tecoanapa,16.99,-99.26,80.6,65,20,5.82
590,kapit,2.02,112.94,78.77,89,76,2.95
591,lakes entrance,-37.88,147.99,80.84,65,20,4.52
592,thinadhoo,0.53,72.93,80.07,100,80,3.18
593,lerwick,60.15,-1.15,47.19,87,56,28.86
594,mango,44.69,8.15,34.81,26,0,10.29
595,olinda,-2.03,-79.75,77,83,75,6.93
596,swan hill,-35.34,143.56,88.4,45,0,4.63
597,saravan,39.72,45.65,20.28,85,0,2.24
598,oistins,13.07,-59.53,78.8,74,20,11.41
599,barra do bugres,-15.07,-57.19,68.46,100,80,6.31
600,cayenne,4.94,-52.33,78.8,78,75,9.17
601,katobu,-4.94,122.53,88.8,76,64,2.84
602,totma,59.98,42.76,14.55,82,80,14.7
603,bolungarvik,NA,NA,NA,NA,NA,NA
604,mangai,-4.07,19.59,75.89,91,36,3.18
605,henties bay,-22.12,14.28,60.9,100,48,1.61
